id_str,created_at,full_text,label_manual
1.97686896370462E+018,Sat Oct 11 04:34:24 +0000 2025,Ya beda mas dana investasi LPDP itu hanya dipergunakan untuk beasiswa sifatnya non-budgeter jadi ga bisa dipindah-pindah buat kegiatan APBN lain D6,Netral
1.64588065704079E+018,Tue Apr 11 20:05:02 +0000 2023,dengan semakin banyaknya hal-hal semacam ini gue percaya cepat atau lambat fenomena brain drain bisa jadi kenyataan buat indonesia. btw good choice and good luck for u bro,Negatif
1.58978107659532E+018,Tue Nov 08 00:45:20 +0000 2022,sosialisme di indonesia? brain drain auto membludak,Negatif
1.97760197248127E+018,Mon Oct 13 05:07:06 +0000 2025,Belum Dapat Jadwal Seleksi Substansi Beasiswa LPDP Tahap 2 Tahun 2025? Ini Penjelasannya https://t.co/RsL3eb0qAY,Netral
1.45899984650164E+018,Fri Nov 12 03:27:24 +0000 2021,@findimg @luthfilathif @idextratime Bisa kok asal pemain nya mau main keluar negeri jadi gausah pusinv mikir liga dagelan dan pelatih juga enak bisa milih pemain yg main diluar negeri. Dan si dirtek kumis itu juga mau cepetin proses pemain keturunan yg pengen jadi wni,Netral
1.96757655475578E+018,Mon Sep 15 13:09:41 +0000 2025,Mensa Indonesia M-Chat: From Application to Award: Scholarship Insights by Inra Sumahamijaya (LPDP Scholarship Awardee) &amp; Kayla Kwok (Beasiswa Indonesia Maju &amp; SPH Academic Merit Scholarship Awardee) @ Apartemen Senayan Residence Jakarta (14/09/25) https://t.co/0scbywjiMw,Netral
1.85345932524905E+018,Mon Nov 04 15:28:33 +0000 2024,@JMastertoaster I'm literally from and living Indonesia a Global South country if we want to play oppression Olympics you imperial core denizen. Brain drain is an issue because our countries are made shit by not being allowed to develop.,Negatif
2.02717767517826E+018,Fri Feb 27 00:23:15 +0000 2026,@SukarinduID bukaan kak itu yg kmrn biar aku aja yg jadi WNI anakku jangan ,Negatif
1.45761792690366E+018,Mon Nov 08 07:56:09 +0000 2021,Pendapatan Nasional GDP (Gross Domestic Produt)/ PDB (Produk Domestik Bruto) GBP=Produk WNI dalam negeri + Produk WNA dalam negeri Produk Neto=Produk WNI diluar negeri Produk WNA dalam negeri GNP (Gross Natiomal Product)/ PNB (Produk Nasional Bruto) GNP=GDP Produk Neto,Netral
1.97046072919631E+018,Tue Sep 23 12:10:21 +0000 2025,@killerstroke69 Sosmednya fanda guru pns smk d kalimantan penerima beasiswa lpdp s2 tpi msi bebas aja berkeliaran wkwk,Negatif
1.9601334218939E+018,Tue Aug 26 00:13:19 +0000 2025,@garbetch Yang ini terlalu membekas soalnya siapa sangka emaknya yang turun._. (Plus dulu bayanganku karena background keluarganya wah dan omongan emaknya yang setinggi itu kupikir nanti istri dia minimal mbak mbak lpdp/beasiswa luar negeri yang isi ig-nya di luar negeri. Ternyata..),Netral
1.64048081283464E+018,Mon Mar 27 22:27:59 +0000 2023,tapi pada saat mau regist akun pilihan place of residencenya ga ada Indonesia HMM apa ini ditujukan buat WNI yg ada diluar negeri ya? atau web nya yg blm update ,Netral
1.49960316046524E+018,Fri Mar 04 04:30:29 +0000 2022,@amflife Brain drain itu permasalahan struktural Mas. Dengan skema LPDP sekarang ga ada juga yang menghalangi alumni-alumni untuk ke luar negeri kembali setelah memenuhi persyaratan 2n+1 tahun di Indonesia. Either way tetap terjadi.,Negatif
1.25802114824093E+018,Wed May 06 13:09:49 +0000 2020,Sebenarnya mau berita ini menjadi viral tau tidak. Kasus-kasus HAM ataupun yg berkaitan dengan perlindungan WNI lainnga yang terjadi diluar negeri dapat diketahui pemerintah secara update.,Netral
1.33409074247875E+018,Wed Dec 02 11:03:13 +0000 2020,10-15 tahun lagi kita akan lebih banyak ketinggalan dalam banyak perkara dengan negara jiran terutama Singkapore Thailand Vietnam Indonesia. Masa tu brain drain dalam negara tak payah jauh ke negara asing cukup sekadar ke 4 negara serantau ni.,Negatif
1.94671892598898E+018,Sat Jul 19 23:48:54 +0000 2025,@FashionIin @Adiasih_F @Boediantar4 Setuju narasi satir itu efektif menyentil isu nyata seperti brain drain di Indonesia di mana talenta muda banyak migrasi ke luar negeri karena kurang apresiasi dan dukungan pemerintah. Data 2025 menunjukkan ribuan lulusan terampil pergi akibat peluang kerja minim. Semoga ini,Negatif
1.83554197681045E+018,Mon Sep 16 04:51:24 +0000 2024,@fierejandrome @Sang_netral @gaada_badaknya @zenrs Diaspora adalah orang indonesia yang tinggal diluar negeri tidak hubungan sama darah dan keturunan. Dan kalo belum dinaturalisasi atau belum jadi wni berarti belum bisa disebut diaspora,Netral
2.04371823497386E+018,Mon Apr 13 15:49:32 +0000 2026,@dearkangbra gak memegang prinsip cukup aku aja yang wni anakku jangan ‍↕️‍↔️,Negatif
1.90780517073119E+018,Thu Apr 03 14:39:32 +0000 2025,Simulation Analysis of Brain Drain Phenomena from Indonesia using System Dynamics Tutik Inayati Takeshi Arai and Utomo Sarjono Putro Graduate School Bandung Institute of Technology Indonesia https://t.co/VOpgJyrEg1 https://t.co/Z4EApEJkDE,Netral
1.22533398951627E+018,Thu Feb 06 08:22:43 +0000 2020,@detikcom WNI yg diluar negeri masih banyak anak atau keluarga ditinggal. Mending urusin itu yg nyata2 mengakui nkri dan masih mengharap bisa kembali. Keamanan n kemanusiaan dapat semua kok ngurusin yg ribet.,Negatif
2.03174833324996E+018,Wed Mar 11 15:05:25 +0000 2026,Disaat ibu dwi sasetyaningtyas memilihkan warga negara buat keluarganya dibilang tdk nasionalisme ? Tapi disaat ada para WNI yg tewas diberondong roket oleh negara iran tdk ada satupun mulut dari bpk prabowo yg keluar membela para WNI yg tewas diroket oleh iran ?,Negatif
1.58042251356094E+018,Thu Oct 13 04:57:44 +0000 2022,@AwYesaya @BatuKepla @BahasaHati6 @AXkasa @kevynsaverio @adam_bampe @mikuroQ @adearmando24115 @KeikaSisi @herry_wl @1ndonesiaku_ @4ndrodhina @__RismaWidiono_ @_antaresh29 @_KangAen @_RiuRizkiUtomo @aan_muba @pengarang_sajak @ayumari13923487 @maryanti_oemar @AdrianneSerlo @AdianNapitupul1 @UGMYogyakarta @jokowi @aniesbaswedan @NasDem @PDemokrat @PKSejahtera @BismaPancasona @KetutBudiarsa4 @BoniCekrik @Budi_Dharma88 @Lembayung071 @bumbelbi1999 @BaskoroKata @PDI_Perjuangan @fajarzalukhu @ZainalAndy3 @zakvindo @rajasundawiwaha @KPK_RI @firlibahuri @mohmahfudmd @suryapaloh51 @banten_prov @dpe_dkijakarta | BRAIN DRAIN | Satu kerugian besar bagi @NasDem adalah keluarnya para influencers Indonesia Tengah dan Indonesia Timur Kehilangan suara dan think thank ini merupakan pukulan berganda yg mematikan partai baru besutan eks kader @PartaiGolkar tsb Quo vadis @Nasdrun_id? . . . https://t.co/7XjZYEwwOH,Negatif
1.95883672478982E+018,Fri Aug 22 10:20:43 +0000 2025,Kuliah S2 Luar Negeri Berkat Beasiswa LPDP: Dibanggakan malah Berakhir Melukai Orangtua karena Lupa Diri #Terbaru https://t.co/1iWfGGHowG,Negatif
1.46932137240483E+018,Fri Dec 10 15:01:28 +0000 2021,@AREAJULID Yaelah kancut loe wahai sapelgram sopan taaeeeelah. Ada WNI yang emang bener bener rezekinya kerja diluar negeri dapat libur cuma 2 minggu pulkam ke Indonesia kepotong masa karantina 10 hari bisa nyontoh elu ya salepgram.,Netral
1.95191425258481E+018,Sun Aug 03 07:53:17 +0000 2025,@alisyarief Itu dia kan org yg kemaren ikut nyerang anaknya anies terkait beasiswa lpdp,Netral
1.78570286907041E+018,Wed May 01 16:08:35 +0000 2024,Indonesia Plans to Offer Dual Citizenship to Halt Brain Drain https://t.co/oBwOfTTyYH,Netral
1.83495581077208E+018,Sat Sep 14 14:02:11 +0000 2024,Dan tokoh politik Gen Z/Milenial masih sibuk mencari tempatnya masing-masing. Dalam setahun ke depan menyiapkan ideologi diaspora dan turunan nilainya akan menjadi penting untuk Indonesia 2045. Atau akan mulai muncul gejala 'brain drain' secara besar-besaran.,Negatif
1.95686219772608E+018,Sat Aug 16 23:34:39 +0000 2025,Beasiswa LPDP Rp 25 T untuk 4000 mahasiswa. Beasiswa KIP Rp 17.2 T untuk 1.2 juta mahasiswa. Apa ga malu kalo ambil LPDP trus setelah lulus cuma jadi artis?,Negatif
1.74130903450096E+018,Sun Dec 31 04:03:20 +0000 2023,@tempodotco Setahu saya dari jaman baheula kalau yang luar negeri memang lebih dulu dikirim lebih awal dan WNI diluar menerima Surat suara lebih dahulu,Netral
1.79097391641417E+018,Thu May 16 05:13:51 +0000 2024,@ardisatriawan Yes we could potentially missing out some of our best talents. So be it. Brain drain maybe tapi saya lebih melihatnya sebagai kesempatan membangun diaspora yang KALAU (a big if indeed) dikelola dengan baik akan bermanfaat untuk Indonesia.,Positif
1.89567033849254E+018,Sat Mar 01 03:00:03 +0000 2025,Migrasi talenta Indonesia ke luar negeri bukan semata-mata brain drain melainkan dapat menjadi brain circulation yang menguntungkan jika dikelola dengan baik. #AnalisisBudaya oleh Ahmad Najib Burhani berjudul Sirkulasi Talenta Bangsa . #AdadiKompas https://t.co/YwdLP6iQ6Q,Positif
1.63252590633721E+018,Sun Mar 05 23:38:01 +0000 2023,@errie_betterman @Dennysiregar7 yang NGONTRAK rumah juga pny KTP kok cuma IMB punya orang lain WNI diluar negeri juga pny KTP tapi banyak yang tidak punya hak milik laham dan bangunan,Netral
2.03571670425349E+018,Sun Mar 22 13:54:18 +0000 2026,@siajiaji Sebagian besar mahasiswa bayar UKT up to 10jt - 25jt per semester tanpa subsidi dana pemerintah (hampir seperti swasta). Ada baiknya ekspektasi tersebut ke kampus sebagai penerima dana bukan mahasiswa secara individu. Beda case jika mahasiswa tsb penerima beasiswa dari,Netral
1.24486589694791E+018,Tue Mar 31 05:55:32 +0000 2020,@detikcom Baiknya WNI yg ada diluar negeri terutama di korea jepang singapura jangan pulang. Kalian lebih terawat dan lebih aman disana.,Negatif
1.86356488467343E+018,Mon Dec 02 12:44:26 +0000 2024,@hariankompas Silahkan prof @anshory72 prof @yanuarnugroho Investigasi @hariankompas tentang brain drain hijrahnya talenta unggul Indonesia ke luar negeri khususnya ke Singapura.,Netral
1.96600937173506E+018,Thu Sep 11 05:22:15 +0000 2025,@banyuonfire Karena inisiator beasiswa LPDP berbasis Dana Abadi yang dikelola Kemenkeu itu SMI pas periode pertama jaman SBY dulu,Netral
2.03787670648098E+018,Sat Mar 28 12:57:23 +0000 2026,@bibliothusiast @bahas_apapun @BurhanMuhtadi Mau ielts? Sendiri betul. Coba cek bbrp beasiswa kaya Manaaki atau AAS ieltsnya direimburse tapi allowancenya lbh kecil dari lpdp. Trade off. Tinggal sisihin bro dari duit bulanan lpdp easy lah.,Netral
1.41772940868148E+018,Wed Jul 21 06:13:25 +0000 2021,Ga didalam negeri.. Ga diluar negeri.. Banyak WNI yg ga patuhi aturan pemerintah.. ‍️‍️‍️,Negatif
1.96099163847986E+018,Thu Aug 28 09:03:34 +0000 2025,Pengumuman Hasil Sanggah Seleksi Administrasi Beasiswa LPDP Tahap 2 2025 Ini Jadwal Resminya! https://t.co/s7ZaDw8s6D,Netral
2.03843265116259E+018,Mon Mar 30 01:46:30 +0000 2026,@NataliusPigai2 Ga mampu bersaing untuk mendapatkan beasiswa LPDP kali pak putra putri nya ,Negatif
1.32313518201091E+018,Mon Nov 02 05:29:44 +0000 2020,@Svizzera_CH WNI karna bagi saya orang yg lahir di indonesia wajib hukumnya jadi orang indonesia sedarah setumpah tanah air! Mau dia diluar negeri 100th kalo masih di Indonesia dia tetap org Indonesia...HIDUP INDONESIA,Positif
1.90259007471114E+018,Thu Mar 20 05:16:36 +0000 2025,@RiegOEasy @RiegOEasy artinya Kabur Dulu Aja hashtag viral di X yang dipakai anak muda Indonesia buat nyari peluang kerja atau kuliah di luar negeri. Muncul gegara frustrasi sama biaya pendidikan mahal kerjaan susah sama gaji kecil. Populer banget sejak Februari 2025 pas ada,Netral
